asset,date,open,high,low,close,volume
MGC,2025-11-17,4091.836096,4108.133022,4030.672326,4069.704469,189245
MGC,2025-11-18,4099.280371,4108.133022,4064.171562,4091.936695,165838
MGC,2025-11-19,4132.377214,4159.035765,4079.864898,4102.499517,212972
MGC,2025-11-20,4104.10909,4131.471829,4066.887716,4101.292337,196888
MGC,2025-11-21,4089.82413,4125.637127,4076.444555,4087.107976,167373
MGC,2025-11-24,4097.067208,4163.260893,4090.226523,4158.432175,128673
MGC,2025-11-25,4156.31961,4181.066794,4131.069436,4151.792687,26287
MGC,2025-11-26,4164.568671,4194.446368,4158.029782,4185.694316,3405
MGC,2025-11-27,4180.463204,4181.569785,4173.622519,4178.149443,52
MGC,2025-11-28,4224.122869,4247.964667,4213.761243,4245.449709,62
MGC,2025-12-01,4262.853216,4263.25561,4242.230564,4262.350225,77
MGC,2025-12-02,4245.248513,4245.248513,4202.695429,4229.95757,74
MGC,2025-12-03,4232.472528,4232.97552,4229.856972,4229.856972,6
MGC,2025-12-04,4228.649792,4233.377913,4218.891757,4233.377913,14
MGC,2025-12-05,4271.001679,4282.469886,4223.116886,4223.116886,16
MGC,2025-12-08,4225.128852,4225.128852,4205.00919,4216.175602,31
MGC,2025-12-09,4229.655775,4239.715606,4229.152784,4234.383896,4
MGC,2025-12-10,4223.116886,4256.817318,4218.08697,4256.817318,6
MGC,2025-12-11,4285.78963,4315.365532,4285.78963,4315.365532,23
MGC,2025-12-12,4325.525961,4330.455278,4301.080573,4330.455278,6
MGC,2025-12-15,4325.727158,4325.727158,4325.727158,4325.727158,1
MGC,2025-12-16,4331.461261,4331.461261,4329.75109,4329.75109,4
MGC,2025-12-17,4366.067078,4376.026311,4366.067078,4369.789216,6
MGC,2025-12-18,4372.203575,4372.203575,4346.852802,4365.664685,3
MGC,2025-12-19,4372.203575,4372.203575,4346.852802,4365.664685,0
MGC,2025-12-22,4459.522905,4467.268974,4459.522905,4467.268974,2
MGC,2025-12-23,4488.092824,4508.816075,4482.157523,4507.810092,23
MGC,2025-12-24,4503.685561,4503.685561,4484.571883,4484.571883,2
MGC,2025-12-26,4572.092409,4589.194121,4565.855314,4572.997794,9
MGC,2025-12-29,4419.933029,4420.233746,4329.71804,4360.290897,239349
MGC,2025-12-30,4416.925863,4418.329207,4359.789703,4363.398303,167999
MGC,2025-12-31,4360.99257,4378.233656,4327.111829,4343.049811,133203
MGC,2026-01-02,4390.563038,4392.567816,4329.818279,4352.271787,159432
MGC,2026-01-05,4442.887732,4478.171816,4439.178893,4470.252945,140121
MGC,2026-01-06,4487.794749,4518.969039,4483.684955,4516.663545,162323
MGC,2026-01-07,4465.241001,4488.997615,4443.589404,4477.169428,170024
MGC,2026-01-08,4447.097765,4499.823414,4440.882954,4498.219592,165965
MGC,2026-01-09,4514.558529,4537.713709,4498.720786,4528.892688,181729
MGC,2026-01-12,4607.379728,4651.585073,4606.076623,4619.207916,209926
MGC,2026-01-13,4637.752108,4655.093434,4587.532431,4605.47519,212511
MGC,2026-01-14,4653.890567,4662.711588,4616.802183,4645.370263,236752
MGC,2026-01-15,4617.1029,4641.059991,4614.797405,4631.537298,148666
MGC,2026-01-16,4613.895255,4635.747331,4550.14333,4612.191195,251791
MGC,2026-01-19,4684.363186,4697.294001,4680.052914,4687.971785,43161
MGC,2026-01-20,4767.360976,4783.499435,4737.990985,4780.091313,178175
MGC,2026-01-21,4874.315857,4886.444761,4768.062648,4847.552077,363030
MGC,2026-01-22,4842.740611,4956.010542,4835.924367,4950.397165,253596
MGC,2026-01-23,4952.60242,5003.523769,4945.084504,4994.903226,232787
MGC,2026-01-26,5087.523948,5114.9894,4995.304181,5016.955779,381772
MGC,2026-01-27,5067.275695,5203.199612,5054.545357,5192.67453,256221
MGC,2026-01-28,5267.152015,5428.536606,5241.190146,5423.524663,46355
MGC,2026-01-29,5552.832814,5552.933052,5106.268618,5382.827679,2760
MGC,2026-01-30,5089.328248,5097.046641,4715.036282,4906.693014,38
MGC,2026-02-02,4669.126877,4669.126877,4669.126877,4669.126877,1
MGC,2026-02-03,4958.616752,4958.616752,4902.683459,4946.287371,26
MGC,2026-02-04,4995.003465,4995.003465,4929.848195,4940.172799,4
MGC,2026-02-05,4852.062827,4862.688147,4846.048494,4846.048494,4
MGC,2026-02-06,4947.690715,4962.024874,4945.585698,4962.024874,12
MGC,2026-02-09,5045.323381,5046.025053,5045.323381,5045.724336,8
MGC,2026-02-10,5042.115737,5042.115737,5020.263662,5033.695671,12
MGC,2026-02-11,5100.254285,5100.254285,5091.232786,5094.139714,8
MGC,2026-02-12,5081.10866,5081.10866,4927.743178,4963.027263,37
MGC,2026-02-13,5042.015498,5053.542969,5040.411676,5049.332936,7
MGC,2026-02-16,5005.127591,5005.127591,5005.127591,5005.127591,1
MGC,2026-02-17,4871.308691,4879.227562,4866.296747,4876.220396,14
MGC,2026-02-18,5013.948612,5023.471306,4989.289849,4989.390088,26
MGC,2026-02-19,5012.745746,5023.9725,4988.788654,4996.106092,39
MGC,2026-02-20,5012.745746,5023.9725,4988.788654,4996.106092,0
MGC,2026-02-23,5216.531382,5228.35957,5216.531382,5226.956225,8
MGC,2026-02-24,5140.149358,5161.4,5140.049119,5161.4,9
MGC,2026-02-25,5196.3,5237.2,5163.0,5184.0,158619
MGC,2026-02-26,5186.5,5218.3,5145.2,5201.5,169246
